product_id,sellers_price,avg_revenue_monday,avg_revenue_tuesday,avg_revenue_wednesday,avg_revenue_thursday,avg_revenue_friday,avg_revenue_saturday,avg_revenue_sunday,avg_demand_monday_perc,avg_demand_tuesday_perc,avg_demand_wednesday_perc,avg_demand_thursday_perc,avg_demand_friday_perc,avg_demand_saturday_perc,avg_demand_sunday_perc,seasonal_price_increase_perc,seller_trust_increase_perc,price_elasticity,p
35,7.2,787.89,989.08,104.96,546.72,437.87,621.29,95.9,1.0,1.43,0.85,0.73,1.38,0.78,0.85,0.06,0.12,0.41,0.03
36,10.03,901.49,662.78,951.6,67.45,327.32,807.5,839.38,0.73,1.25,1.22,0.7,1.03,1.45,0.62,0.02,0.08,0.02,-0.04
37,0.17,234.52,79.28,558.11,921.17,367.35,236.35,361.21,0.51,0.72,1.13,0.73,1.19,1.03,0.69,0.23,0.08,0.26,0.03
38,11.58,312.86,626.78,555.69,171.1,79.42,535.63,218.89,0.7,1.06,1.49,1.37,1.23,1.31,1.49,0.24,0.13,0.42,0.04
39,0.5,212.69,875.02,166.08,164.11,674.34,538.13,708.68,0.79,0.5,1.46,0.59,0.51,0.76,0.56,0.14,0.05,0.1,-0.02
40,18.67,805.42,864.42,974.17,502.7,777.24,690.4,893.74,0.74,0.86,1.44,1.24,0.55,0.78,1.43,0.04,0.06,0.97,0.04
41,5.12,387.46,412.64,407.99,487.81,419.47,677.27,910.69,1.5,1.15,1.18,0.98,0.69,1.45,0.83,0.16,0.08,0.72,-0.04
42,10.62,322.34,61.31,830.58,402.0,88.61,951.29,827.63,1.39,0.74,1.47,1.03,1.26,0.59,1.03,0.1,0.09,0.41,-0.04
43,11.67,718.69,668.91,907.73,830.78,965.34,326.36,247.8,1.27,1.08,0.66,0.86,1.15,1.29,1.36,0.14,0.11,0.88,-0.01
44,8.1,841.2,729.42,727.91,747.66,476.07,999.57,973.9,0.68,1.48,1.24,0.79,0.88,0.65,1.27,0.21,0.11,0.45,0.03
45,6.66,925.64,201.01,971.04,550.38,315.49,521.33,204.15,1.39,1.2,0.55,1.15,1.1,0.73,0.6,0.01,0.07,0.93,-0.0
46,14.54,828.81,299.65,875.48,611.13,764.32,783.76,855.16,0.74,0.87,1.39,0.68,0.9,0.94,0.56,0.24,0.1,0.22,0.04
47,2.2,386.42,945.64,100.65,321.81,893.73,678.32,103.52,0.7,1.29,0.8,0.68,1.13,0.98,0.92,0.21,0.03,0.2,0.03
48,8.3,898.82,821.0,876.67,605.48,744.03,913.7,595.4,1.29,0.7,0.61,0.77,0.94,0.72,1.21,0.05,0.14,0.49,-0.04
49,10.76,347.12,923.13,617.57,470.73,939.89,215.17,321.68,0.93,1.5,0.92,1.14,1.36,1.05,0.67,0.17,0.1,0.39,-0.01
50,19.65,764.09,980.62,566.38,942.26,399.51,181.24,514.68,1.2,0.83,1.1,1.07,1.09,0.93,1.44,0.03,0.14,0.02,0.03
